name,introduction,itinerary,destination_location
Pattaya Day and  Night  Full  Trip (Day Trip from Bangkok),"Pattaya not only is a top attraction in Thailand, but its reputation has also been spread all over the world. This trip will take you to Pattaya Floating market, Jom Tien beach, Take you to see Cabaret Show in Pattaya , Walking Street Pattaya ,","10:30 - Meet up at hotel lobby (in <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a> area) / 12:00 - Visit Pattaya Floating market. enjoying the local food and local product. ( Lunch at the Floating Market ) / 14:30 - Go to Jom Tien beach ( you can swim here). / 16:00 - Take you to see Cabaret Show in Pattaya, The most impressive and glamorous show. ( Standard Seat. ) / 18:30 - After the show Take you to see the nightlife of Walking Street Pattaya . / 20:30 - Head back to <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a>. Take a rest with relax therapy songs, while we drive back to BKK. Reach to your place around 22.00 PM / 22:00 - End of the trip.",Pattaya
"Sing Buri, the Happiest City in Thailand","In our trip, you will learn the history of Thailand through temples and Baan Bang Rachan, historical Thai village. Moreover, we'll go for a local grocery shopping at the market, cook for a meal, and cycling around my neighborhood!","08:30 - Meet up at our meeting point- Bus Terminal (Sing Buri Bus Terminal)- Hotel lobby (in Sing Buri area) / 09:30 - Visit Wat Phra Non Chaksri (Temple). The great reclining buddha - length  47.42 meters. and you can walk around the local shop here. / 10:30 - Visit Wat Phikul Thong (Temple), There is shady and beautiful artistry in Sing Buri. Taking photos and you can feed fishes here. / 12:00 - Having lunch at the Tha Prachan restaurant. The restaurant is not expensive and has many kind of Thai dishes, but there is a dish that I'd say it's a MUST, snake-head fish menu! / 13:30 - Visit Wat Pho Kao Ton. It's a historical place during <a class=""auto-highlight"" href=""/to/Ayutthaya"" target=""_blank"">Ayutthaya</a> period, Bang Rachan villagers fought to  protect <a class=""auto-highlight"" href=""/to/Ayutthaya"" target=""_blank"">Ayutthaya</a> at that time. Moreover you can go shopping in the Sing Buri Retro Market and you may wear Traditional Thai costume here. / 15:30 - Bang Rachan Heroes Monument, the monument of the Bang Rachan heroes located nearby Wat Pho kao Ton. / 16:00 - Visit my house and I will take you tour around my village, see the nature view and how people in Sing Buri live nearby the Chao Phra Ya River by bicycle. / 17:00 - Having dinner at my home, you can learn and enjoy  cooking some Thai food here. / 19:00 - Trip end",Sing Buri
Kwan Riam Floating Market Tour,"Taking you to <a class=""auto-highlight"" href=""/article/kwan-riam-floating-market"" target=""_blank"">Kwan Riam Floating Market</a>. You will enjoy eating various local food, riding long-tail boat sightseeing with the junior guides. FREE Learn Thai Language","06:30 - Meet up at Airport Rail Link Station (Ramkhamhaeng Station) / 07:00 - Arrive <a class=""auto-highlight"" href=""/article/kwan-riam-floating-market"" target=""_blank"">Kwan Riam Floating Market</a>. Take a boat ride in the canal and try out Thai local food and dessert. / 12:30 - Return to Airport Rail Link Station (Ramkhamhaeng Station)",Bangkok
"Take an Adventure to the Chiang Dao Cave and Sticky Waterfall!  ","This tour will take you 77 km north of <a class=""auto-highlight"" href=""/to/Chiang Mai"" target=""_blank"">Chiang Mai</a> to the Chiang Dao area! Explore Chiang Dao Cave inside the spectacular Chiang Dao Hill, and a very unique waterfall called Bua Tong (Sticky) Waterfall. Let's enjoy coffee and lunch along the way!","08:00 - Meet up at hotel lobby (in <a class=""auto-highlight"" href=""/to/Chiang Mai"" target=""_blank"">Chiang Mai</a> area) / 10:00 - Let's enjoy some refreshing coffee! Then, you'll get to explore the fascinating Chiang Dao Cave inside the imposing limestone in the hills of Chiang Dao! / 12:30 - Let's have some lunch! / 13:30 - After lunch, let's drive to Bua Tong (Sticky) Waterfall! / 15:00 - See, or even plunge into the cool and colorful mineral laden water with their fountains, streams and the most unique ""sticky"" cascades. / 17:00 - Drive back to the hotel, and this is where the trip ends! Thank you for joining me!",Chiang Mai
"Lamphaya Floating Market: Shopping, Eating, and Boating Nearby Bangkok! ","<a class=""auto-highlight"" href=""/trip/lamphaya-floating-market-shopping-eating-and-boating-nearby-bangkok"" target=""_blank"">Lamphaya Floating Market</a> is a local market nearby <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a>. The trip will be easy going, so you can go shopping for local products, eating local food, feeding fish, and boating along Tha Chin River! Come join me for a <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a> getaway!","09:30 - Meet up at our meeting point- MRT Station (Bang Sue, <a class=""auto-highlight"" href=""https://www.takemetour.com/article/chatuchak-market"" target=""_blank"">Chatuchak</a> Park, Lat Phrao)- BTS Station (Mo Chit) / 10:30 - We start by arriving at the <a class=""auto-highlight"" href=""/trip/lamphaya-floating-market-shopping-eating-and-boating-nearby-bangkok"" target=""_blank"">Lamphaya Floating Market</a>! We'll go boating to the local village nearby (there is another local market, which opens at 8am-12pm), absorb the local life, visit a tiny objects museum and grab some local food and snacks! / 12:00 - We'll go boating back to <a class=""auto-highlight"" href=""/trip/lamphaya-floating-market-shopping-eating-and-boating-nearby-bangkok"" target=""_blank"">Lamphaya Floating Market</a>. Here, we'll have lunch, do some shopping, feed some fish, and relax here! Let's enjoy the time! / 15:00 - Time to head back to <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a>! This is where the trip ends. Thank you so much for joining me!",Nakhon Pathom
Explore Doi Inthanon & Mae Ya Waterfall to See Sunrise at the Highest Spot in Thailand!,The best area for trekking which is the highest mountain in the Thailand. Enjoy trekking 3.6 km at Kew Mae Pan nature trail. Visit two Pagodas (King Rama IX and Queen). Visit Hmong market and relax at the stunning at Mae Ya waterfall!,"04:00 - Meet up at our meeting point- Hotel lobby (in <a class=""auto-highlight"" href=""/to/Chiang Mai"" target=""_blank"">Chiang Mai</a> area)- Airport (<a class=""auto-highlight"" href=""/to/Chiang Mai"" target=""_blank"">Chiang Mai</a> International Airport)- Bus Terminal (<a class=""auto-highlight"" href=""/to/Chiang Mai"" target=""_blank"">Chiang Mai</a> Provincial Arcade Transport Station)- Railway Station (<a class=""auto-highlight"" href=""/to/Chiang Mai"" target=""_blank"">Chiang Mai</a> Railway Station) / 06:00 - Arrive at Kew Mae Pan Viewpoint and have some breakfast, (Sandwiches with milk or fruit juice are provided) and wait for the sunrise! / 07:30 - Drive to highest spot in Thailand, which is 2,565 meters above the sea level! Take pictures around there, and have a break with fresh Arabica coffee. Then, trek at Angka nature trail (340 meter +) where you will see forests with rare plants and birds! / 08:30 - Start trekking. Ang Ka is classified as an evergreen forest with a specific feature from the typical a peat bog, which appears in the middle of the area. The temperature is low all year. Rare plants and wildlife are indigenous to this ecosystem! / 09:30 - Drive back to Kew Mae Pan and trek at the nature trail for about 3.2km (2-3hours) through the beautiful green forest, passing giant Rhododendrons, waterfalls and streams which leads to a cliff where you can enjoy breathtaking mountain views! / 12:00 - Have lunch at Kew Mae Pan viewpoint! (Northeastern food such as roasted chicken or pork, Thai northern sausage, papaya salad, etc. are provided!) / 13:00 - Drive to the Pagoda! These temples were built to honor the 60th birthday anniversary of King Bhumibol Adulyadej in 1987, and the 60th birthday anniversary of Queen Sirikit in 1992, respectively. Visit the garden to see beautiful scenery and take pictures! / 14:00 - Drive to Hmong hill tribe market! Go shopping for handmade products, vegetables, flowers and freshly picked fruits from tribal sellers dressed in colorful embroidered costumes! / 14:45 - Drive to Wachirathan Falls! The waterfall is the second major waterfall on the way up Doi Inthanon National Park. This one is an impressive and powerful waterfall, which is lighter flowing in the dry season, but in full flow in May through September! / 15:30 - Drive to Mae Ya Waterfall, the biggest and the most beautiful waterfall in Doi Inthanon National Park in <a class=""auto-highlight"" href=""/to/Chiang Mai"" target=""_blank"">Chiang Mai</a>! With a height of over 260 meters, The fresh water splashes down over 30 tiers of rocks and boulders into small clear pools! Enjoy! / 16:15 - We arrive at Mae Ya Waterfall and we'll take a 600 meter walk from car park! Then, you'll be stunned with the biggest waterfall in <a class=""auto-highlight"" href=""/to/Chiang Mai"" target=""_blank"">Chiang Mai</a>! You can relax and swim at this waterfall if you'd like! / 18:00 - Time to say goodbye to Doi inthanon! / 19:30 - Return you to your hotel in <a class=""auto-highlight"" href=""/to/Chiang Mai"" target=""_blank"">Chiang Mai</a> city! I hope you enjoyed my trip!",Chiang Mai
Visit the Picturesque Doi Inthanon & Freshen up at Grand Canyon Chiang Mai!,"This mountain is the highest in Thailand, with a very beautiful view at 2,565 meters above sea level! We'll visit a nice waterfall, holy pagoda and a hill tribe market! After that, you can freshen up at the Grand Canyon by jumping off into the water!","08:00 - Meet up at hotel lobby (in <a class=""auto-highlight"" href=""/to/Chiang Mai"" target=""_blank"">Chiang Mai</a> area) / 10:15 - We start by arriving at the King and Queen pagoda! Immerse yourself in the beautiful landscape from the top! / 11:30 - Reach Doi Inthanon,  the highest point of Thailand, which is around 2,563 meters above sea level! / 12:00 - Let's take a short walking trail to see the nature and feel the cool weather from the top of the mountain! / 13:00 - Next, we'll visit a hill tribe shopping market, buy some local fresh fruits and vegetables and we'll have a local lunch there! / 14:00 - Next, let's visit the biggest and most beautiful waterfall in <a class=""auto-highlight"" href=""/to/Chiang Mai"" target=""_blank"">Chiang Mai</a>! / 15:30 - Next, we make our last stop at the Grand Canyon <a class=""auto-highlight"" href=""/to/Chiang Mai"" target=""_blank"">Chiang Mai</a> for some sightseeing, swimming and jumping off the cliffs! / 18:00 - The trip ends now when we arrive at your hotel! I hope you had fun, and thank you for joining me!",Chiang Mai
"Ayutthaya: Must-See Temples, Ayothaya Floating Market and Bang Pa-in Palace","Explore the famous temples of <a class=""auto-highlight"" href=""/to/Ayutthaya"" target=""_blank"">Ayutthaya</a> Historical Park. You'll also see Bang-Pa-In Palace with a variety of beautiful architectural styles and a church-inspired Buddhist temple. Then enjoy afternoon shopping and relax at Ayothaya Floating Market.","08:00 - Meet up at hotel lobby (in <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a> area) / 09:00 - Visit Wat Niwet Thammaprawat. Located on a small island, the Buddhist temple was uniquely built in Gothic Revival style. / 10:00 - Then we'll go to Bang Pa-In Palace. The summer palace was first constructed by King Prasat Thong in 1632 and expanded by later kings. You'll find stunning buildings in many architectural styles from Thai and Chinese to European. /  - Please be informed that you can stroll in the palace complex, but entering the buildings isn't allowed. / 11:00 - Move on to Wat Phanan Choeng.  The temple was built in 1324 even before <a class=""auto-highlight"" href=""/to/Ayutthaya"" target=""_blank"">Ayutthaya</a> was founded! Admire the gigantic gilded Buddha image. / 12:00 - Grab local lunch. / 13:00 - Relax at Ayothaya Floating Market and walk around shopping for souvenirs. / 14:00 - Pay a visit to Wat Yai Chai Mongkhon.The temple was first built by King U-Thong (<a class=""auto-highlight"" href=""/to/Ayutthaya"" target=""_blank"">Ayutthaya</a>'s first king) in 1357. Wat Yai Chai Mongkhon is very photogenic with enormous pagodas and rows of Buddha images. / 15:00 - Visit Wat Phra Si Sanphet.The temple was once the royal palace built by King U-Thong. Later, the palace was exclusively used as the royal temple for religious and royal ceremonies. Don't miss its three iconic pagodas. / 17:30 - Head back to <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a>. Get some rest on the ride back. / 19:00 - Drop off at the meeting point.",Ayutthaya
"Kwan Riam Floating Market and Hua Mum Night Market – The Hidden Gem Market Worth Visiting! ","One day Trip exploring <a class=""auto-highlight"" href=""/article/kwan-riam-floating-market"" target=""_blank"">Kwan Riam Floating Market</a>, a perfect place for authentic and yummy Thai dishes and Thai cultural dance show and then turn to Hua Mum Night Market for those who love food, dessert, music and shopping. Let's have fun !","12:00 - Meet up at hotel lobby (in <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a> area) / 13:00 - <a class=""auto-highlight"" href=""/article/kwan-riam-floating-market"" target=""_blank"">Kwan Riam Floating Market</a>, Feeling the taste of South East Asian culture. Having foodies from a wide array of yummy Thai dishes and Thai desserts like “tako” and seeing Thai cultural dance show. / 17:00 - Turn to Hua Mum Night Market, Enjoying delicious food & Thai dessert, Especially Kanom Krok Bai Toey. Listening to relaxing music and shopping around the market. / 20:00 - Transfer to your hotel with wonderful experience.",Bangkok
Sailing in Bangkok and Cool Night Market,"First we will go to the lagoon to sail.  If it's your first time don't worry because we have a trainer who can help you. Then we will go to the bazzar,  have a Tom Yum noodle.  We will walk around,  buy sth., and chill out. :) ","14:00 - Meet up at Airport Rail Link Station (Ramkhamhaeng Station) / 14:00 - We will meet up Ramkhamhaeng airport rail link station.  / 21:00 - I think our trip will be finished around 21.00 or later if you want to chill out and I will take you to the airport rail link station.  ",Bangkok
